기준연월,SGG_ID,행정구역별,전월대비방문인구증감률,코드분류,인구감소소멸지역코드,티맵_자연관광지_검색건수,티맵_역사관광지_검색건수,티맵_휴양관광지_검색건수,티맵_공연_행사_검색건수,티맵_문화시설_검색건수,티맵_레포츠(육상해상항공)_검색건수,티맵_쇼핑_검색건수,티맵_식음료_검색건수,티맵_숙박_검색건수,티맵_기타관광지_검색건수,비씨카드_내국인_소비금액,비씨카드_외국인_소비금액,비씨카드_거주민_소비금액,외국인관광객수_무박,외국인관광객수_1박,외국인관광객수_2박,외국인관광객수_3박이상,외지인관광객수_무박,외지인관광객수_1박,외지인관광객수_2박,외지인관광객수_3박이상,남녀성비,전입인구,전출인구,순이동인구,고령인구비율,혼인건수,이혼건수,주민등록인구,지가변동률
201812,30140,대전광역시 중구,-6.84996,3,1,3261,737,4984,1782,703,144,2426,38247,3563,2178,21485124794,3885250,10900137833,3033.292,272.7057,160.9411,686.2348,3529285,181517,57456,137165,98.1,"2,374","3,077",-703,17.0,46,97,244421,0.245
201812,30170,대전광역시 서구,-7.2961,1,0,5767,906,113,8917,3921,1667,7649,93349,6898,1469,33190435419,22750710,25950832054,6790.976,715.4651,527.6852,1775.589,4490717,307359.5,101612,262668,97,"5,776","6,585",-809,11.2,103,242,484663,0.266
201812,30200,대전광역시 유성구,-4.81167,1,0,1732,762,213,4533,9763,2582,14521,113548,29069,4482,25731401248,3628960,21846468790,8904.789,1134.239,730.6031,2340.636,3975335,275460.5,87941,228382,101.7,"4,831","5,085",-254,8.4,40,202,349790,0.303
201812,30230,대전광역시 대덕구,-4.86031,3,1,2090,186,3,,434,303,5391,17749,2348,768,10986133532,34240,7536958346,2514.519,216.6175,181.4903,626.4344,1627826,113452.5,41384,103866,103.3,"1,476","2,113",-637,13.6,35,75,181991,0.257
201812,31110,울산광역시 중구,-5.14872,1,0,2396,1289,13,1932,242,717,2063,24689,2904,992,10318082335,,12188219580,2721.414,303.6898,171.0098,571.9982,1882010,93408,43848,124715.5,103.4,"1,814","2,398",-584,12.7,42,103,231973,0.128
201812,31140,울산광역시 남구,-4.96928,1,0,2916,2546,4131,3004,4701,443,8129,64443,11567,2183,31668057144,28098837,29003629803,19259.31,2691.891,1676.916,3268.725,3204817,204550.5,74809,195902,103.9,"4,129","4,064",65,10.2,48,194,330732,0.132
201812,31170,울산광역시 동구,-5.21571,1,0,9358,200,94,,846,59,899,12303,2210,1310,5847415029,1236093,13405305137,18514.93,1554.02,731.3035,1306.443,785158.5,78466.5,32487,90454,109.7,"1,229","1,607",-378,10.2,43,83,164642,-0.209
201812,31200,울산광역시 북구,-10.8759,1,0,3457,641,160,3177,464,184,4866,31382,2400,4837,11152207357,,13849538383,10772.9,737.6292,365.3021,1074.831,1538933,92396.5,36274,101006.5,107.1,"1,935","1,681",254,7.3,33,148,206434,0.176
201812,31710,울산광역시 울주군,-1.69069,1,0,10165,3140,2147,96,1047,4456,2659,33766,5325,8703,12257285351,12000,11305104603,17829.06,1736.748,750.4877,1484.372,1864681,132422.5,46536,132723.5,106.7,"1,624","1,844",-220,13.0,52,119,221842,0.064
201812,36110,세종시,-2.89341,1,0,6295,1236,2250,6703,2047,2491,8105,86317,4646,1965,19768867889,245720,17325341319,5487.964,494.7958,396.8413,1645.133,1688453,144462.5,59878,173988.5,99.7,"6,116","4,333","1,783",9,40,235,314126,0.513
201812,41111,수원시 장안구,-5.78188,1,0,5734,2181,2533,4117,1340,220,6009,40906,1312,2919,13787176740,,16456014238,6642.447,900.4823,372.4217,1470.232,2524928,129930.5,47362,137679.5,101.5,"3,605","3,912",-307,9.8,40,118,300292,0.204
201812,41113,수원시 권선구,-6.40705,1,0,933,225,6,2765,1376,4364,38111,61055,4711,4108,25528974595,35454590,23245845266,12088.36,1396.745,970.6197,2704.715,3227777,173509,57309,152134.5,101.5,"3,605","3,912",-307,9.8,68,227,300292,0.312
201812,41115,수원시 팔달구,-5.6112,1,0,1822,9793,96,15049,2137,708,12104,95541,35984,2625,45355988323,202519405,11736336868,35926.46,7165.057,4862.55,8277.986,5053608,260697.5,53536,129776.5,101.5,"3,605","3,912",-307,9.8,26,97,300292,0.328
201812,41117,수원시 영통구,-4.27389,1,0,7450,191,32,7348,2858,1539,28698,114416,2260,1715,26427131876,29070470,19868664885,18981.84,1443.351,889.4753,3148.633,3915342,173491.5,68866,186410,101.5,"3,605","3,912",-307,9.8,30,246,300292,0.23
201812,41131,성남시 수정구,-4.98435,1,0,1091,1215,610,3681,147,1246,2543,40324,6756,1656,16401588266,1946640,10755943869,7325.736,688.0659,534.0931,1756.252,2714996,139065.5,48979,145313,98.1,"3,863","4,109",-246,12.6,55,132,318116,0.433
